timestamp,container,cpu_perc,mem_usage,net_io,block_io,pg_connections,redis_clients
2026-09-05T12:37:31.616024+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:31.616024+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:31.616024+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:31.616024+00:00,dnk_backend,105.18%,312.3MiB / 3.825GiB,4.45MB / 5.94MB,157MB / 242kB,8,2
2026-09-05T12:37:31.616024+00:00,dnk_redis,0.91%,39.34MiB / 3.825GiB,1.14MB / 710kB,31.2MB / 0B,8,2
2026-09-05T12:37:31.616024+00:00,dnk_postgres,0.04%,64.55MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:31.616024+00:00,dnk_pgvector,0.00%,45.59MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:35.624297+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:35.624297+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:35.624297+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:35.624297+00:00,dnk_backend,100.80%,312.6MiB / 3.825GiB,4.92MB / 6.66MB,157MB / 242kB,8,2
2026-09-05T12:37:35.624297+00:00,dnk_redis,2.11%,39.24MiB / 3.825GiB,1.14MB / 710kB,31.2MB / 0B,8,2
2026-09-05T12:37:35.624297+00:00,dnk_postgres,3.75%,64.41MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:35.624297+00:00,dnk_pgvector,4.16%,46.06MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:38.851070+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:38.851070+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:38.851070+00:00,dnk_frontend,4.41%,131.7MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:38.851070+00:00,dnk_backend,100.03%,312.5MiB / 3.825GiB,5.42MB / 7.37MB,157MB / 242kB,8,2
2026-09-05T12:37:38.851070+00:00,dnk_redis,0.36%,39.55MiB / 3.825GiB,1.14MB / 710kB,31.2MB / 0B,8,2
2026-09-05T12:37:38.851070+00:00,dnk_postgres,0.00%,64.48MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:38.851070+00:00,dnk_pgvector,0.00%,45.96MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:42.889086+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:42.889086+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:42.889086+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:42.889086+00:00,dnk_backend,70.35%,312.5MiB / 3.825GiB,6MB / 8.19MB,157MB / 242kB,8,2
2026-09-05T12:37:42.889086+00:00,dnk_redis,0.31%,39.46MiB / 3.825GiB,1.14MB / 710kB,31.2MB / 0B,8,2
2026-09-05T12:37:42.889086+00:00,dnk_postgres,0.00%,64.35MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:42.889086+00:00,dnk_pgvector,0.00%,45.59MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:46.165159+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:46.165159+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:46.165159+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:46.165159+00:00,dnk_backend,2.32%,312.5MiB / 3.825GiB,6.67MB / 9.07MB,157MB / 242kB,8,2
2026-09-05T12:37:46.165159+00:00,dnk_redis,0.98%,39.4MiB / 3.825GiB,1.14MB / 710kB,31.2MB / 0B,8,2
2026-09-05T12:37:46.165159+00:00,dnk_postgres,4.18%,63.93MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:46.165159+00:00,dnk_pgvector,0.00%,45.59MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:50.134664+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:50.134664+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:50.134664+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:50.134664+00:00,dnk_backend,0.26%,312.5MiB / 3.825GiB,6.72MB / 9.12MB,157MB / 242kB,8,2
2026-09-05T12:37:50.134664+00:00,dnk_redis,3.96%,39.41MiB / 3.825GiB,1.14MB / 710kB,31.2MB / 0B,8,2
2026-09-05T12:37:50.134664+00:00,dnk_postgres,0.02%,64.88MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:50.134664+00:00,dnk_pgvector,0.00%,45.54MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:53.521103+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:53.521103+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:53.521103+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:53.521103+00:00,dnk_backend,0.39%,312.5MiB / 3.825GiB,6.72MB / 9.12MB,157MB / 242kB,8,2
2026-09-05T12:37:53.521103+00:00,dnk_redis,2.13%,39.84MiB / 3.825GiB,1.14MB / 710kB,31.2MB / 0B,8,2
2026-09-05T12:37:53.521103+00:00,dnk_postgres,0.00%,64.62MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:53.521103+00:00,dnk_pgvector,0.00%,45.82MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:53.929338+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:53.929338+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:53.929338+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:53.929338+00:00,dnk_backend,0.39%,312.5MiB / 3.825GiB,6.72MB / 9.12MB,157MB / 242kB,8,2
2026-09-05T12:37:53.929338+00:00,dnk_redis,1.26%,39.84MiB / 3.825GiB,1.14MB / 710kB,31.2MB / 0B,8,2
2026-09-05T12:37:53.929338+00:00,dnk_postgres,0.00%,64.62MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:53.929338+00:00,dnk_pgvector,0.00%,45.82MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:55.875697+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:55.875697+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:55.875697+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:55.875697+00:00,dnk_backend,0.31%,312.5MiB / 3.825GiB,6.72MB / 9.12MB,157MB / 242kB,8,2
2026-09-05T12:37:55.875697+00:00,dnk_redis,3.52%,39.53MiB / 3.825GiB,1.14MB / 710kB,31.2MB / 0B,8,2
2026-09-05T12:37:55.875697+00:00,dnk_postgres,5.81%,64.37MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:55.875697+00:00,dnk_pgvector,0.00%,45.82MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:57.446486+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
